"Per Pupil Expenditures by Function (District), 2023-24"
"All Districts"
"Notes:"
"Expenditures exclude food services not funded by local funds, debt, capital (other than equipment), adult education, community services, and state contributions to Teachers' Retirement."
"All amounts include regular and special education."
"This report is based upon data reported by school districts; questions concerning report data should be addressed to the school district."

"Pupil Basis: 1 = Enrollment plus outplaced pupils, 2 = Enrollment in district schools, 3 = Total pupils transported"

"District","District Code","Function","Expenditures","Pupils","Pupil Basis","PPE"
"Montville School District","=""0860011""","Operation and maintenance of plant","$4,509,753",2003,2,"$2,251"
"Montville School District","=""0860011""","Student transportation services","$2,687,424",1946,3,"$1,381"
"Montville School District","=""0860011""","Food services","$0",2003,2,"$0"
"Montville School District","=""0860011""","Enterprise operations","$798,186",2003,2,"$398"
"Montville School District","=""0860011""","Minor school construction","N/A","N/A","N/A","N/A"
"Montville School District","=""0860011""","Total","$46,514,154",2198,1,"$21,162"
"Naugatuck School District","=""0880011""","Instruction","$51,945,923",4677,1,"$11,107"
"Naugatuck School District","=""0880011""","Support services - students","$5,864,962",4211,2,"$1,393"
"Naugatuck School District","=""0880011""","Support services - instruction","$705,619",4211,2,"$168"
"Naugatuck School District","=""0880011""","Support services - general administration","$6,321,405",4211,2,"$1,501"
"Naugatuck School District","=""0880011""","Support services - school based administration","$6,078,677",4211,2,"$1,444"
"Naugatuck School District","=""0880011""","Central and other support services","$2,097,805",4211,2,"$498"
"Naugatuck School District","=""0880011""","Operation and maintenance of plant","$5,783,914",4211,2,"$1,374"
"Naugatuck School District","=""0880011""","Student transportation services","$5,021,831",4550,3,"$1,104"
"Naugatuck School District","=""0880011""","Food services","$0",4211,2,"$0"
"Naugatuck School District","=""0880011""","Enterprise operations","$0",4211,2,"$0"
"Naugatuck School District","=""0880011""","Minor school construction","N/A","N/A","N/A","N/A"
"Naugatuck School District","=""0880011""","Total","$83,820,135",4677,1,"$17,922"
"New Beginnings Inc Family Academy District","=""2800013""","Instruction","$4,482,132",392,1,"$11,434"
"New Beginnings Inc Family Academy District","=""2800013""","Support services - students","$381,805",392,2,"$974"
"New Beginnings Inc Family Academy District","=""2800013""","Support services - instruction","$0",392,2,"$0"
"New Beginnings Inc Family Academy District","=""2800013""","Support services - general administration","$1,211,456",392,2,"$3,090"
"New Beginnings Inc Family Academy District","=""2800013""","Support services - school based administration","$416,722",392,2,"$1,063"
"New Beginnings Inc Family Academy District","=""2800013""","Central and other support services","$208,065",392,2,"$531"
"New Beginnings Inc Family Academy District","=""2800013""","Operation and maintenance of plant","$541,175",392,2,"$1,381"
"New Beginnings Inc Family Academy District","=""2800013""","Student transportation services","$4,595",392,3,"$12"
"New Beginnings Inc Family Academy District","=""2800013""","Food services","$0",392,2,"$0"
"New Beginnings Inc Family Academy District","=""2800013""","Enterprise operations","$0",392,2,"$0"
"New Beginnings Inc Family Academy District","=""2800013""","Minor school construction","N/A","N/A","N/A","N/A"
"New Beginnings Inc Family Academy District","=""2800013""","Total","$7,245,950",392,1,"$18,485"
"New Britain School District","=""0890011""","Instruction","$154,473,548",11464,1,"$13,475"
"New Britain School District","=""0890011""","Support services - students","$7,473,139",9790,2,"$763"
"New Britain School District","=""0890011""","Support services - instruction","$7,625,268",9790,2,"$779"
"New Britain School District","=""0890011""","Support services - general administration","$4,942,189",9790,2,"$505"
"New Britain School District","=""0890011""","Support services - school based administration","$7,589,108",9790,2,"$775"
"New Britain School District","=""0890011""","Central and other support services","$6,721,656",9790,2,"$687"
"New Britain School District","=""0890011""","Operation and maintenance of plant","$23,638,135",9790,2,"$2,415"
"New Britain School District","=""0890011""","Student transportation services","$15,050,236",8222,3,"$1,830"
"New Britain School District","=""0890011""","Food services","$0",9790,2,"$0"
"New Britain School District","=""0890011""","Enterprise operations","$628,484",9790,2,"$64"
"New Britain School District","=""0890011""","Minor school construction","N/A","N/A","N/A","N/A"
"New Britain School District","=""0890011""","Total","$228,141,764",11464,1,"$19,901"
"New Canaan School District","=""0900011""","Instruction","$62,085,139",4117,1,"$15,080"
"New Canaan School District","=""0900011""","Support services - students","$9,461,874",4098,2,"$2,309"
"New Canaan School District","=""0900011""","Support services - instruction","$4,167,896",4098,2,"$1,017"
"New Canaan School District","=""0900011""","Support services - general administration","$1,771,976",4098,2,"$432"
"New Canaan School District","=""0900011""","Support services - school based administration","$5,037,186",4098,2,"$1,229"
"New Canaan School District","=""0900011""","Central and other support services","$5,176,713",4098,2,"$1,263"
"New Canaan School District","=""0900011""","Operation and maintenance of plant","$9,418,890",4098,2,"$2,298"
"New Canaan School District","=""0900011""","Student transportation services","$7,994,860",3759,3,"$2,127"
"New Canaan School District","=""0900011""","Food services","$215,340",4098,2,"$53"
"New Canaan School District","=""0900011""","Enterprise operations","$2,434,467",4098,2,"$594"
"New Canaan School District","=""0900011""","Minor school construction","N/A","N/A","N/A","N/A"
"New Canaan School District","=""0900011""","Total","$107,764,341",4117,1,"$26,175"
"New Fairfield School District","=""0910011""","Instruction","$27,901,615",2183,1,"$12,781"
"New Fairfield School District","=""0910011""","Support services - students","$5,450,160",2144,2,"$2,542"
"New Fairfield School District","=""0910011""","Support services - instruction","$2,212,163",2144,2,"$1,032"
"New Fairfield School District","=""0910011""","Support services - general administration","$959,052",2144,2,"$447"
"New Fairfield School District","=""0910011""","Support services - school based administration","$2,848,795",2144,2,"$1,329"
"New Fairfield School District","=""0910011""","Central and other support services","$1,542,219",2144,2,"$719"
"New Fairfield School District","=""0910011""","Operation and maintenance of plant","$4,384,588",2144,2,"$2,045"
"New Fairfield School District","=""0910011""","Student transportation services","$3,066,330",2222,3,"$1,380"
"New Fairfield School District","=""0910011""","Food services","$0",2144,2,"$0"
"New Fairfield School District","=""0910011""","Enterprise operations","$0",2144,2,"$0"
"New Fairfield School District","=""0910011""","Minor school construction","N/A","N/A","N/A","N/A"
"New Fairfield School District","=""0910011""","Total","$48,364,920",2183,1,"$22,155"
"New Hartford School District","=""0920011""","Instruction","$6,772,165",468,1,"$14,470"
"New Hartford School District","=""0920011""","Support services - students","$181,536",452,2,"$402"
"New Hartford School District","=""0920011""","Support services - instruction","$289,491",452,2,"$640"
"New Hartford School District","=""0920011""","Support services - general administration","$506,668",452,2,"$1,121"
"New Hartford School District","=""0920011""","Support services - school based administration","$568,699",452,2,"$1,258"
"New Hartford School District","=""0920011""","Central and other support services","$9,226",452,2,"$20"
"New Hartford School District","=""0920011""","Operation and maintenance of plant","$939,969",452,2,"$2,080"
"New Hartford School District","=""0920011""","Student transportation services","$835,513",470,3,"$1,778"
"New Hartford School District","=""0920011""","Food services","$0",452,2,"$0"
"New Hartford School District","=""0920011""","Enterprise operations","$0",452,2,"$0"
"New Hartford School District","=""0920011""","Minor school construction","N/A","N/A","N/A","N/A"
"New Hartford School District","=""0920011""","Total","$10,103,268",468,1,"$21,588"
"New Haven School District","=""0930011""","Instruction","$271,278,033",19551,1,"$13,875"
"New Haven School District","=""0930011""","Support services - students","$23,971,613",18844,2,"$1,272"
"New Haven School District","=""0930011""","Support services - instruction","$5,818,432",18844,2,"$309"
"New Haven School District","=""0930011""","Support services - general administration","$2,139,192",18844,2,"$114"
"New Haven School District","=""0930011""","Support services - school based administration","$21,417,132",18844,2,"$1,137"
"New Haven School District","=""0930011""","Central and other support services","$15,086,177",18844,2,"$801"
"New Haven School District","=""0930011""","Operation and maintenance of plant","$38,611,549",18844,2,"$2,049"
"New Haven School District","=""0930011""","Student transportation services","$38,724,951",21072,3,"$1,838"
"New Haven School District","=""0930011""","Food services","$60,611",18844,2,"$3"
"New Haven School District","=""0930011""","Enterprise operations","$712,580",18844,2,"$38"
"New Haven School District","=""0930011""","Minor school construction","N/A","N/A","N/A","N/A"
"New Haven School District","=""0930011""","Total","$417,820,270",19551,1,"$21,371"
"New London School District","=""0950011""","Instruction","$43,760,091",3432,1,"$12,751"
"New London School District","=""0950011""","Support services - students","$8,346,961",2893,2,"$2,885"
"New London School District","=""0950011""","Support services - instruction","$3,683,750",2893,2,"$1,273"
"New London School District","=""0950011""","Support services - general administration","$2,748,899",2893,2,"$950"
"New London School District","=""0950011""","Support services - school based administration","$3,966,485",2893,2,"$1,371"
"New London School District","=""0950011""","Central and other support services","$2,975,059",2893,2,"$1,028"
"New London School District","=""0950011""","Operation and maintenance of plant","$9,165,902",2893,2,"$3,168"
"New London School District","=""0950011""","Student transportation services","$5,756,797",2617,3,"$2,200"
"New London School District","=""0950011""","Food services","$0",2893,2,"$0"
"New London School District","=""0950011""","Enterprise operations","$806,327",2893,2,"$279"
"New London School District","=""0950011""","Minor school construction","N/A","N/A","N/A","N/A"
"New London School District","=""0950011""","Total","$81,210,273",3432,1,"$23,663"
"New Milford School District","=""0960011""","Instruction","$45,739,755",3672,1,"$12,456"
"New Milford School District","=""0960011""","Support services - students","$5,270,823",3583,2,"$1,471"
"New Milford School District","=""0960011""","Support services - instruction","$1,670,610",3583,2,"$466"
"New Milford School District","=""0960011""","Support services - general administration","$1,061,144",3583,2,"$296"
"New Milford School District","=""0960011""","Support services - school based administration","$3,834,337",3583,2,"$1,070"
"New Milford School District","=""0960011""","Central and other support services","$4,945,798",3583,2,"$1,380"
"New Milford School District","=""0960011""","Operation and maintenance of plant","$6,711,718",3583,2,"$1,873"
"New Milford School District","=""0960011""","Student transportation services","$5,488,649",3711,3,"$1,479"
"New Milford School District","=""0960011""","Food services","$69,428",3583,2,"$19"
"New Milford School District","=""0960011""","Enterprise operations","$1,248,835",3583,2,"$349"
"New Milford School District","=""0960011""","Minor school construction","N/A","N/A","N/A","N/A"
"New Milford School District","=""0960011""","Total","$76,041,096",3672,1,"$20,708"
"Newington School District","=""0940011""","Instruction","$56,961,892",4072,1,"$13,989"
"Newington School District","=""0940011""","Support services - students","$5,895,314",3872,2,"$1,523"
"Newington School District","=""0940011""","Support services - instruction","$1,311,649",3872,2,"$339"
"Newington School District","=""0940011""","Support services - general administration","$3,928,357",3872,2,"$1,015"
"Newington School District","=""0940011""","Support services - school based administration","$5,331,163",3872,2,"$1,377"
"Newington School District","=""0940011""","Central and other support services","$1,048,782",3872,2,"$271"
"Newington School District","=""0940011""","Operation and maintenance of plant","$9,388,670",3872,2,"$2,425"
"Newington School District","=""0940011""","Student transportation services","$4,486,334",3446,3,"$1,302"
"Newington School District","=""0940011""","Food services","$0",3872,2,"$0"
"Newington School District","=""0940011""","Enterprise operations","$913,771",3872,2,"$236"
"Newington School District","=""0940011""","Minor school construction","N/A","N/A","N/A","N/A"
"Newington School District","=""0940011""","Total","$89,265,932",4072,1,"$21,922"
"Newtown School District","=""0970011""","Instruction","$50,478,880",3994,1,"$12,639"
"Newtown School District","=""0970011""","Support services - students","$10,658,840",3934,2,"$2,709"
"Newtown School District","=""0970011""","Support services - instruction","$2,644,397",3934,2,"$672"
"Newtown School District","=""0970011""","Support services - general administration","$1,727,184",3934,2,"$439"
"Newtown School District","=""0970011""","Support services - school based administration","$4,482,843",3934,2,"$1,140"
"Newtown School District","=""0970011""","Central and other support services","$2,400,013",3934,2,"$610"
"Newtown School District","=""0970011""","Operation and maintenance of plant","$10,673,792",3934,2,"$2,713"
"Newtown School District","=""0970011""","Student transportation services","$5,371,882",3987,3,"$1,347"
"Newtown School District","=""0970011""","Food services","$0",3934,2,"$0"
"Newtown School District","=""0970011""","Enterprise operations","$1,392,309",3934,2,"$354"
"Newtown School District","=""0970011""","Minor school construction","N/A","N/A","N/A","N/A"
"Newtown School District","=""0970011""","Total","$89,830,140",3994,1,"$22,491"
"Norfolk School District","=""0980011""","Instruction","$1,534,152",59,1,"$26,003"
"Norfolk School District","=""0980011""","Support services - students","$57,529",56,2,"$1,027"
"Norfolk School District","=""0980011""","Support services - instruction","$164,963",56,2,"$2,946"
"Norfolk School District","=""0980011""","Support services - general administration","$218,570",56,2,"$3,903"
"Norfolk School District","=""0980011""","Support services - school based administration","$247,499",56,2,"$4,420"
"Norfolk School District","=""0980011""","Central and other support services","$0",56,2,"$0"
"Norfolk School District","=""0980011""","Operation and maintenance of plant","$487,592",56,2,"$8,707"
"Norfolk School District","=""0980011""","Student transportation services","$170,600",57,3,"$2,993"
"Norfolk School District","=""0980011""","Food services","$27,945",56,2,"$499"
"Norfolk School District","=""0980011""","Enterprise operations","$100",56,2,"$2"
"Norfolk School District","=""0980011""","Minor school construction","N/A","N/A","N/A","N/A"
"Norfolk School District","=""0980011""","Total","$2,908,950",59,1,"$49,304"
"North Branford School District","=""0990011""","Instruction","$20,162,174",1582,1,"$12,745"
"North Branford School District","=""0990011""","Support services - students","$2,976,271",1534,2,"$1,940"
"North Branford School District","=""0990011""","Support services - instruction","$804,871",1534,2,"$525"
"North Branford School District","=""0990011""","Support services - general administration","$815,494",1534,2,"$532"
"North Branford School District","=""0990011""","Support services - school based administration","$2,035,994",1534,2,"$1,327"
"North Branford School District","=""0990011""","Central and other support services","$2,818,136",1534,2,"$1,837"
"North Branford School District","=""0990011""","Operation and maintenance of plant","$3,852,599",1534,2,"$2,511"
"North Branford School District","=""0990011""","Student transportation services","$3,047,023",1544,3,"$1,973"
"North Branford School District","=""0990011""","Food services","$0",1534,2,"$0"
"North Branford School District","=""0990011""","Enterprise operations","$0",1534,2,"$0"
"North Branford School District","=""0990011""","Minor school construction","N/A","N/A","N/A","N/A"
"North Branford School District","=""0990011""","Total","$36,512,561",1582,1,"$23,080"
"North Canaan School District","=""1000011""","Instruction","$4,262,519",249,1,"$17,119"
"North Canaan School District","=""1000011""","Support services - students","$73,263",244,2,"$300"
"North Canaan School District","=""1000011""","Support services - instruction","$104,101",244,2,"$427"
"North Canaan School District","=""1000011""","Support services - general administration","$243,266",244,2,"$997"
"North Canaan School District","=""1000011""","Support services - school based administration","$316,360",244,2,"$1,297"
"North Canaan School District","=""1000011""","Central and other support services","$146,341",244,2,"$600"
"North Canaan School District","=""1000011""","Operation and maintenance of plant","$785,067",244,2,"$3,217"
"North Canaan School District","=""1000011""","Student transportation services","$309,213",267,3,"$1,158"
"North Canaan School District","=""1000011""","Food services","$0",244,2,"$0"
"North Canaan School District","=""1000011""","Enterprise operations","$27,310",244,2,"$112"
"North Canaan School District","=""1000011""","Minor school construction","N/A","N/A","N/A","N/A"
"North Canaan School District","=""1000011""","Total","$6,267,440",249,1,"$25,170"
"North Haven School District","=""1010011""","Instruction","$37,947,697",3310,1,"$11,465"
"North Haven School District","=""1010011""","Support services - students","$5,807,284",3225,2,"$1,801"
"North Haven School District","=""1010011""","Support services - instruction","$1,946,159",3225,2,"$603"
"North Haven School District","=""1010011""","Support services - general administration","$982,284",3225,2,"$305"
"North Haven School District","=""1010011""","Support services - school based administration","$4,343,709",3225,2,"$1,347"
"North Haven School District","=""1010011""","Central and other support services","$3,540,570",3225,2,"$1,098"
"North Haven School District","=""1010011""","Operation and maintenance of plant","$5,574,393",3225,2,"$1,728"
"North Haven School District","=""1010011""","Student transportation services","$4,241,660",3272,3,"$1,296"
"North Haven School District","=""1010011""","Food services","$0",3225,2,"$0"
"North Haven School District","=""1010011""","Enterprise operations","$890,265",3225,2,"$276"
"North Haven School District","=""1010011""","Minor school construction","N/A","N/A","N/A","N/A"
"North Haven School District","=""1010011""","Total","$65,274,020",3310,1,"$19,720"
"North Stonington School District","=""1020011""","Instruction","$9,889,560",756,1,"$13,081"
"North Stonington School District","=""1020011""","Support services - students","$1,242,423",736,2,"$1,688"
"North Stonington School District","=""1020011""","Support services - instruction","$249,299",736,2,"$339"
"North Stonington School District","=""1020011""","Support services - general administration","$1,063,348",736,2,"$1,445"
"North Stonington School District","=""1020011""","Support services - school based administration","$882,382",736,2,"$1,199"
"North Stonington School District","=""1020011""","Central and other support services","$14,695",736,2,"$20"
"North Stonington School District","=""1020011""","Operation and maintenance of plant","$1,113,587",736,2,"$1,513"
"North Stonington School District","=""1020011""","Student transportation services","$1,163,077",579,3,"$2,009"
"North Stonington School District","=""1020011""","Food services","$0",736,2,"$0"
"North Stonington School District","=""1020011""","Enterprise operations","$0",736,2,"$0"
"North Stonington School District","=""1020011""","Minor school construction","N/A","N/A","N/A","N/A"
"North Stonington School District","=""1020011""","Total","$15,618,370",756,1,"$20,659"
"Norwalk School District","=""1030011""","Instruction","$172,584,257",11996,1,"$14,387"
"Norwalk School District","=""1030011""","Support services - students","$21,802,517",11453,2,"$1,904"
"Norwalk School District","=""1030011""","Support services - instruction","$10,453,367",11453,2,"$913"
"Norwalk School District","=""1030011""","Support services - general administration","$778,018",11453,2,"$68"
"Norwalk School District","=""1030011""","Support services - school based administration","$10,903,836",11453,2,"$952"
"Norwalk School District","=""1030011""","Central and other support services","$4,854,044",11453,2,"$424"
"Norwalk School District","=""1030011""","Operation and maintenance of plant","$33,720,266",11453,2,"$2,944"
"Norwalk School District","=""1030011""","Student transportation services","$11,552,277",7261,3,"$1,591"
"Norwalk School District","=""1030011""","Food services","$200,000",11453,2,"$17"
"Norwalk School District","=""1030011""","Enterprise operations","$0",11453,2,"$0"
"Norwalk School District","=""1030011""","Minor school construction","N/A","N/A","N/A","N/A"
"Norwalk School District","=""1030011""","Total","$266,848,583",11996,1,"$22,245"
"Norwich School District","=""1040011""","Instruction","$88,366,694",5184,1,"$17,046"
"Norwich School District","=""1040011""","Support services - students","$8,802,214",3248,2,"$2,710"
"Norwich School District","=""1040011""","Support services - instruction","$1,216,475",3248,2,"$375"
"Norwich School District","=""1040011""","Support services - general administration","$3,689,137",3248,2,"$1,136"
"Norwich School District","=""1040011""","Support services - school based administration","$2,395,793",3248,2,"$738"
"Norwich School District","=""1040011""","Central and other support services","$1,697,777",3248,2,"$523"
"Norwich School District","=""1040011""","Operation and maintenance of plant","$4,712,824",3248,2,"$1,451"
"Norwich School District","=""1040011""","Student transportation services","$10,898,957",5423,3,"$2,010"
"Norwich School District","=""1040011""","Food services","$0",3248,2,"$0"
"Norwich School District","=""1040011""","Enterprise operations","$383,702",3248,2,"$118"
"Norwich School District","=""1040011""","Minor school construction","N/A","N/A","N/A","N/A"
"Norwich School District","=""1040011""","Total","$122,163,574",5184,1,"$23,566"
"Odyssey Community School District","=""2630013""","Instruction","$3,412,144",370,1,"$9,222"
"Odyssey Community School District","=""2630013""","Support services - students","$572,009",370,2,"$1,546"
"Odyssey Community School District","=""2630013""","Support services - instruction","$84,175",370,2,"$228"
"Odyssey Community School District","=""2630013""","Support services - general administration","$162,386",370,2,"$439"
"Odyssey Community School District","=""2630013""","Support services - school based administration","$595,442",370,2,"$1,609"
"Odyssey Community School District","=""2630013""","Central and other support services","$119,036",370,2,"$322"
"Odyssey Community School District","=""2630013""","Operation and maintenance of plant","$691,487",370,2,"$1,869"
"Odyssey Community School District","=""2630013""","Student transportation services","$0",0,3,"$0"
"Odyssey Community School District","=""2630013""","Food services","$0",370,2,"$0"
"Odyssey Community School District","=""2630013""","Enterprise operations","$0",370,2,"$0"
"Odyssey Community School District","=""2630013""","Minor school construction","N/A","N/A","N/A","N/A"
"Odyssey Community School District","=""2630013""","Total","$5,636,679",370,1,"$15,234"
"Old Saybrook School District","=""1060011""","Instruction","$16,699,631",1045,1,"$15,981"
"Old Saybrook School District","=""1060011""","Support services - students","$2,418,819",1026,2,"$2,358"
"Old Saybrook School District","=""1060011""","Support services - instruction","$1,572,416",1026,2,"$1,533"
"Old Saybrook School District","=""1060011""","Support services - general administration","$706,185",1026,2,"$688"
"Old Saybrook School District","=""1060011""","Support services - school based administration","$1,636,401",1026,2,"$1,595"
"Old Saybrook School District","=""1060011""","Central and other support services","$1,225,868",1026,2,"$1,195"
"Old Saybrook School District","=""1060011""","Operation and maintenance of plant","$3,271,261",1026,2,"$3,188"
"Old Saybrook School District","=""1060011""","Student transportation services","$1,315,511",981,3,"$1,341"
"Old Saybrook School District","=""1060011""","Food services","$50,000",1026,2,"$49"
"Old Saybrook School District","=""1060011""","Enterprise operations","$0",1026,2,"$0"
"Old Saybrook School District","=""1060011""","Minor school construction","N/A","N/A","N/A","N/A"
"Old Saybrook School District","=""1060011""","Total","$28,896,093",1045,1,"$27,652"
"Orange School District","=""1070011""","Instruction","$13,638,777",1289,1,"$10,581"
"Orange School District","=""1070011""","Support services - students","$4,690,358",1281,2,"$3,661"
"Orange School District","=""1070011""","Support services - instruction","$1,021,433",1281,2,"$797"
"Orange School District","=""1070011""","Support services - general administration","$721,776",1281,2,"$563"
"Orange School District","=""1070011""","Support services - school based administration","$1,022,750",1281,2,"$798"
"Orange School District","=""1070011""","Central and other support services","$245,439",1281,2,"$192"
"Orange School District","=""1070011""","Operation and maintenance of plant","$2,535,640",1281,2,"$1,979"
"Orange School District","=""1070011""","Student transportation services","$1,268,853",1235,3,"$1,027"
"Orange School District","=""1070011""","Food services","$64,766",1281,2,"$51"
"Orange School District","=""1070011""","Enterprise operations","$0",1281,2,"$0"
"Orange School District","=""1070011""","Minor school construction","N/A","N/A","N/A","N/A"
"Orange School District","=""1070011""","Total","$25,209,793",1289,1,"$19,558"
"Oxford School District","=""1080011""","Instruction","$22,339,260",1733,1,"$12,891"
"Oxford School District","=""1080011""","Support services - students","$2,394,815",1658,2,"$1,444"
"Oxford School District","=""1080011""","Support services - instruction","$1,301,320",1658,2,"$785"
"Oxford School District","=""1080011""","Support services - general administration","$913,496",1658,2,"$551"
"Oxford School District","=""1080011""","Support services - school based administration","$2,265,519",1658,2,"$1,366"
"Oxford School District","=""1080011""","Central and other support services","$1,654,578",1658,2,"$998"
"Oxford School District","=""1080011""","Operation and maintenance of plant","$3,147,035",1658,2,"$1,898"
"Oxford School District","=""1080011""","Student transportation services","$2,241,669",1667,3,"$1,345"
"Oxford School District","=""1080011""","Food services","$0",1658,2,"$0"
"Oxford School District","=""1080011""","Enterprise operations","$517,926",1658,2,"$312"
"Oxford School District","=""1080011""","Minor school construction","N/A","N/A","N/A","N/A"
"Oxford School District","=""1080011""","Total","$36,775,619",1733,1,"$21,221"
"Park City Prep Charter School District","=""2830013""","Instruction","$4,244,398",403,1,"$10,532"
"Park City Prep Charter School District","=""2830013""","Support services - students","$223,413",403,2,"$554"
"Park City Prep Charter School District","=""2830013""","Support services - instruction","$68,206",403,2,"$169"
"Park City Prep Charter School District","=""2830013""","Support services - general administration","$147,796",403,2,"$367"
"Park City Prep Charter School District","=""2830013""","Support services - school based administration","$0",403,2,"$0"
"Park City Prep Charter School District","=""2830013""","Central and other support services","$438,718",403,2,"$1,089"
"Park City Prep Charter School District","=""2830013""","Operation and maintenance of plant","$1,402,673",403,2,"$3,481"
"Park City Prep Charter School District","=""2830013""","Student transportation services","$215,766",326,3,"$662"
"Park City Prep Charter School District","=""2830013""","Food services","$0",403,2,"$0"
"Park City Prep Charter School District","=""2830013""","Enterprise operations","$0",403,2,"$0"
"Park City Prep Charter School District","=""2830013""","Minor school construction","N/A","N/A","N/A","N/A"
"Park City Prep Charter School District","=""2830013""","Total","$6,740,970",403,1,"$16,727"
"Plainfield School District","=""1090011""","Instruction","$23,051,362",2024,1,"$11,389"
"Plainfield School District","=""1090011""","Support services - students","$3,000,799",1880,2,"$1,596"
"Plainfield School District","=""1090011""","Support services - instruction","$2,914,039",1880,2,"$1,550"
"Plainfield School District","=""1090011""","Support services - general administration","$495,301",1880,2,"$263"
"Plainfield School District","=""1090011""","Support services - school based administration","$2,196,301",1880,2,"$1,168"
"Plainfield School District","=""1090011""","Central and other support services","$2,508,420",1880,2,"$1,334"
"Plainfield School District","=""1090011""","Operation and maintenance of plant","$3,762,478",1880,2,"$2,001"
"Plainfield School District","=""1090011""","Student transportation services","$3,319,344",1799,3,"$1,845"
"Plainfield School District","=""1090011""","Food services","$0",1880,2,"$0"
"Plainfield School District","=""1090011""","Enterprise operations","$557,028",1880,2,"$296"
"Plainfield School District","=""1090011""","Minor school construction","N/A","N/A","N/A","N/A"
"Plainfield School District","=""1090011""","Total","$41,805,074",2024,1,"$20,655"
"Plainville School District","=""1100011""","Instruction","$30,927,243",2322,1,"$13,319"
"Plainville School District","=""1100011""","Support services - students","$1,348,920",2241,2,"$602"
"Plainville School District","=""1100011""","Support services - instruction","$7,533,437",2241,2,"$3,362"
"Plainville School District","=""1100011""","Support services - general administration","$775,837",2241,2,"$346"
"Plainville School District","=""1100011""","Support services - school based administration","$2,172,962",2241,2,"$970"
"Plainville School District","=""1100011""","Central and other support services","$607,899",2241,2,"$271"
"Plainville School District","=""1100011""","Operation and maintenance of plant","$3,525,179",2241,2,"$1,573"
"Plainville School District","=""1100011""","Student transportation services","$2,528,358",1420,3,"$1,781"
"Plainville School District","=""1100011""","Food services","$0",2241,2,"$0"
"Plainville School District","=""1100011""","Enterprise operations","$0",2241,2,"$0"
"Plainville School District","=""1100011""","Minor school construction","N/A","N/A","N/A","N/A"
"Plainville School District","=""1100011""","Total","$49,419,837",2322,1,"$21,283"
"Plymouth School District","=""1110011""","Instruction","$16,841,619",1409,1,"$11,953"
"Plymouth School District","=""1110011""","Support services - students","$2,143,275",1272,2,"$1,685"
"Plymouth School District","=""1110011""","Support services - instruction","$849,438",1272,2,"$668"
"Plymouth School District","=""1110011""","Support services - general administration","$1,156,916",1272,2,"$910"
"Plymouth School District","=""1110011""","Support services - school based administration","$1,466,362",1272,2,"$1,153"
"Plymouth School District","=""1110011""","Central and other support services","$1,234,073",1272,2,"$970"
"Plymouth School District","=""1110011""","Operation and maintenance of plant","$3,468,155",1272,2,"$2,727"
"Plymouth School District","=""1110011""","Student transportation services","$2,078,617",1504,3,"$1,382"
"Plymouth School District","=""1110011""","Food services","$0",1272,2,"$0"
"Plymouth School District","=""1110011""","Enterprise operations","$0",1272,2,"$0"
"Plymouth School District","=""1110011""","Minor school construction","N/A","N/A","N/A","N/A"
"Plymouth School District","=""1110011""","Total","$29,238,454",1409,1,"$20,751"
"Pomfret School District","=""1120011""","Instruction","$8,154,505",534,1,"$15,271"
"Pomfret School District","=""1120011""","Support services - students","$543,153",347,2,"$1,565"
"Pomfret School District","=""1120011""","Support services - instruction","$403,931",347,2,"$1,164"
"Pomfret School District","=""1120011""","Support services - general administration","$182,315",347,2,"$525"
"Pomfret School District","=""1120011""","Support services - school based administration","$507,388",347,2,"$1,462"
"Pomfret School District","=""1120011""","Central and other support services","$211,781",347,2,"$610"
"Pomfret School District","=""1120011""","Operation and maintenance of plant","$1,114,834",347,2,"$3,213"
"Pomfret School District","=""1120011""","Student transportation services","$750,847",541,3,"$1,388"
"Pomfret School District","=""1120011""","Food services","$0",347,2,"$0"
"Pomfret School District","=""1120011""","Enterprise operations","$0",347,2,"$0"
"Pomfret School District","=""1120011""","Minor school construction","N/A","N/A","N/A","N/A"
"Pomfret School District","=""1120011""","Total","$11,868,754",534,1,"$22,226"
"Portland School District","=""1130011""","Instruction","$16,870,737",1270,1,"$13,284"
"Portland School District","=""1130011""","Support services - students","$1,691,679",1223,2,"$1,383"
"Portland School District","=""1130011""","Support services - instruction","$921,288",1223,2,"$753"
"Portland School District","=""1130011""","Support services - general administration","$1,203,357",1223,2,"$984"
"Portland School District","=""1130011""","Support services - school based administration","$1,874,437",1223,2,"$1,533"
"Portland School District","=""1130011""","Central and other support services","$364,714",1223,2,"$298"
"Portland School District","=""1130011""","Operation and maintenance of plant","$2,851,882",1223,2,"$2,332"
"Portland School District","=""1130011""","Student transportation services","$1,437,509",1096,3,"$1,312"
"Portland School District","=""1130011""","Food services","$4,090",1223,2,"$3"
"Portland School District","=""1130011""","Enterprise operations","$391,961",1223,2,"$320"
"Portland School District","=""1130011""","Minor school construction","N/A","N/A","N/A","N/A"
"Portland School District","=""1130011""","Total","$27,611,654",1270,1,"$21,741"
"Preston School District","=""1140011""","Instruction","$8,521,915",627,1,"$13,592"
"Preston School District","=""1140011""","Support services - students","$2,278,321",444,2,"$5,131"
"Preston School District","=""1140011""","Support services - instruction","$516,937",444,2,"$1,164"
"Preston School District","=""1140011""","Support services - general administration","$854,881",444,2,"$1,925"
