"Find School/District Results"
"Your search returned         2334 result(s)."

"OrganizationType","District","OrganizationCode","OrganizationName","Street","City","State","ZIP","Phone","Fax","Website","Education Program","Program Type","School Type","Inter-District Magnet","NCES Code","Designated High School","Agricultural Science and Technology (ASTE)","Title I Type","State Board of Education Approved","For Profit","Pre Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12"
"Public Schools","Hartford School District",="0642511","STEM Magnet at Annie Fisher School","280 Plainfield Street","Hartford","CT",="06112","860-695-3500","860-722-8443","https://anniefisherstem.hartfordschools.org/o/stemfisher",,,"Traditional/General Education","Yes",="090192000362",No,No,"Schoolwide",No,No,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Program","Hartford School District",="0648411","STEP at Hartford Public High School","55 Forest Street","Hartford","CT",="06105","860-695-1452",,"https://luisvalentin5150.wixsite.com/step",,"Public Transition Program",,,="090192001727",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Public Schools","Hartford School District",="0643011","Sanchez School","176 Babcock Street","Hartford","CT","06106-1357","860-695-4940","860-560-3493","https://www.sanchezschool.org/o/sanchez",,,"Traditional/General Education",,="090192000026",No,No,"Schoolwide",No,No,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0646511","Sport and Medical Sciences Academy","280 Huyshope Avenue","Hartford","CT",="06106","860-695-6900","860-722-8017","https://www.smsatigers.org/o/smsa",,,"Traditional/General Education","Yes",="090192001370",No,No,"Schoolwide",No,No,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"Public Schools","Hartford School District",="0646711","University High School of Science and Engineering","351 Mark Twain Drive","Hartford","CT",="06112","860-695-9020","860-722-6408","https://www.uhsse.org/o/universityhigh",,,"Traditional/General Education","Yes",="090192001381",No,No,"Schoolwide",No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Adult Education Providers","Hartford School District",="0640317","Urban League of Greater Hartford","140 Woodland Street","Hartford","CT",="06105","860-527-0147","860-727-0936","http://www.ulgh.org",,,,,,No,No,,No,No,,,,,,,,,,,,,,
"Public Schools","Hartford School District",="0646311","Weaver High School","415 Granby St.","Hartford","CT","06112-1398","860-695-1640",,"https://www.hartfordschools.org/o/weaver",,,"Traditional/General Education",,="090192001939",No,No,"Schoolwide",No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Hartford School District",="0642011","Webster Micro Society Magnet School","5 Cone Street","Hartford","CT",="06105","860-695-5380","860-722-8786","https://www.nwmms.org/o/nwmms",,,"Traditional/General Education","Yes",="090192000383",No,No,"Schoolwide",No,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0642111","West Middle School","44 Niles Street","Hartford","CT",="06112","860-695-5480","860-240-4683","https://www.hartfordschools.org/o/west",,,"Traditional/General Education",,="090192000384",No,No,"Schoolwide",No,No,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Hartford School District",="0642211","Wish Museum School","104 Vine Street","Hartford","CT",="06112","860-695-5600","860-722-8326","https://www.hartfordschools.org/o/wishmuseumschool",,,"Traditional/General Education",,="090192000385",No,No,"Schoolwide",No,No,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0641410","iGOAL - Weaver High School","415 Granby Street","Hartford","CT",="06112","860-695-1640",,"https://www.hartfordschools.org/o/weaver",,"Special Education",,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Hartford School District",="0649511","iGOAL 1 - Breakthrough Magnet School, North","25 Ridgefield Street","Hartford","CT",="06112","860-695-6380","860-524-5395","https://www.hartfordschools.org/o/btmsn",,"Special Education",,,,No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0644711","iGOAL 1 - Burns School","195 Putnam Street","Hartford","CT",="06106","860-695-2980","860-722-8469","https://www.hartfordschools.org/o/burnslatinostudy",,"Special Education",,,,No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0644911","iGOAL 1 - HPHS","55 Forest Street","Hartford","CT",="06105","860-695-1497",,"https://www.hartfordschools.org/o/hphs",,"Special Education",,,="090192001660",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Hartford School District",="0640110","iGOAL 1 - Milner School","150 Tower Avenue","Hartford","CT",="06120","860-695-4380","860-278-4694","https://www.hartfordschools.org/o/milner",,"Special Education",,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Program","Hartford School District",="0648711","iGOAL 1 - Parkville School","47 New Park Avenue","Hartford","CT",="06106","860-695-4720","860-232-7350","https://www.hartfordschools.org/o/parkville",,"Special Education",,,,No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0644411","iGOAL 1 - Rawson School","260 Holcomb Street","Hartford","CT",="06112","860-695-4840","860-242-3238","https://www.hartfordschools.org/o/rawson",,"Special Education",,,="090192001673",No,No,,No,No,="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0640210","iGOAL 2 - Kennelly School","180 White Street","Hartford","CT",="06114","860-695-3860","860-522-9372","https://www.kennellyschool.org/o/ebkennelly",,"Special Education",,,,No,No,,No,No,="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Program","Hartford School District",="0648511","iGOAL 2 - Moylan School","101 Catherine Street","Hartford","CT",="06106","860-695-4500","860-722-8133","https://www.hartfordschools.org/o/elams",,"Special Education",,,="090192001764",No,No,,No,No,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0640710","iGOAL Pre-K - Naylor School","639 Franklin Avenue","Hartford","CT",="06114","860-695-4620","860-296-2595","https://www.hartfordschools.org/o/naylorschool",,"Special Education-Pre-K Only",,,,No,No,,No,No,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Hartford School District",="0640810","iGOAL Pre-K - Rawson School","260 Holcomb Street","Hartford","CT",="06112","860-695-4840","860-242-3238","https://www.hartfordschools.org/o/rawson",,"Special Education-Pre-K Only",,,,No,No,,No,No,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Hartland School District",="0650111","Hartland School","30 South Rd.","East Hartland","CT","06027-9710","860-653-7207",,"http://hartlandschool.com",,,"Traditional/General Education",,="090195000386",No,No,"Targeted Assistance",No,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public School Districts","Hartland School District",="0650011","Hartland School District","30 South Road","East Hartland","CT",="06027","860-653-7207","860-844-8528","http://hartlandschool.com",,,,,="0901950",No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools","Hebron",="0670221","Oak Hill School at Hemlocks Center","85 Jones Road","Hebron","CT",="06248","860-228-1224",,"https://oakhillschool.oakhillct.org/","APSEP",,,,,No,No,,No,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Public Schools","Hebron School District",="0670211","Gilead Hill School","580 Gilead St.","Hebron","CT","06248-1314","860-228-9458","860-228-1106","https://www.hebron.k12.ct.us/",,,"Traditional/General Education",,="090201000387",No,No,"Targeted Assistance",No,No,="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Hebron School District",="0670111","Hebron Elementary School","92 Church St.","Hebron","CT","06248-1427","860-228-9465","860-228-1378","https://www.hebron.k12.ct.us/",,,"Traditional/General Education",,="090201000388",No,No,,No,No,="0",="0",="0",="0",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Public School Districts","Hebron School District",="0670011","Hebron School District","580 Gilead Street","Hebron","CT",="06248","860-228-2577","860-228-2235","http://www.hebron.k12.ct.us",,,,,="0902010",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter Schools","Highville Charter School District",="2860113","Highville Charter School","1 Science Park","New Haven","CT",="06511","203-287-0528","203-497-9899","http://www.highvillecharter.com",,,"Charter School",,="090020700907",No,No,"Schoolwide",No,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Public Charter School Districts","Highville Charter School District",="2860013","Highville Charter School District","1 Science Park","New Haven","CT",="06511","203-287-0528",,"http://highvillecharter.com/",,,,,="0900207",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter Schools","Integrated Day Charter School District",="2640113","Integrated Day Charter School","68 Thermos Ave.","Norwich","CT",="06360","860-892-1900","860-892-1902","http://www.idcs.org",,,"Charter School",,="090001000775",No,No,"Schoolwide",No,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Charter School Districts","Integrated Day Charter School District",="2640013","Integrated Day Charter School District","68 Thermos Ave.","Norwich","CT",="06360","860-892-1900","860-892-1902","http://www.idcs.org",,,,,="0900010",No,No,,No,No,,,,,,,,,,,,,,
"Public Charter Schools","Interdistrict School for Arts and Comm District",="2655113","Interdistrict School For Arts And Communication","190 Governor Winthrop Blvd.","New London","CT",="06320","860-447-1003","860-447-0470","http://www.isaacschool.org",,,"Charter School",,="090001100797",No,No,"Schoolwide",No,No,="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Charter School Districts","Interdistrict School for Arts and Comm District",="2650013","Interdistrict School for Arts and Comm District","190 Governor Winthrop Blvd.","New London","CT",="06320","860-447-1003","860-447-0470","http://www.isaacschool.org",,,,,="0900011",No,No,,No,No,,,,,,,,,,,,,,
"State Agency Facilities","Judicial Centers",="3482415","AFIR-LISA'S House","50 Bank Street","Plainville","CT",="06062","860-798-2477",,"https://csi-online.org/",,,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"State Agency Facilities","Judicial Centers",="3480115","Bridgeport Residential Center","60 Housatonic Ave","Bridgeport","CT",="06604","203-579-3671",,"http://www.jud.ct.gov",,,,,="090022201927",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1"
"State Agency Facilities","Judicial Centers",="3480315","Hartford Residential Center","920 Broad St.","Hartford","CT",="06106","860-244-7965",,"http://www.jud.ct.gov",,,,,="090022201933",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1"
"State Agencies","Judicial Centers",="3480015","Judicial Centers","455 Winding Brook Drive","Glastonbury","CT",="06033","860-368-3800",,"http://www.jud.ct.gov",,,,,="0900222",No,No,,No,No,,,,,,,,,,,,,,
"State Agency Facilities","Judicial Centers",="3481715","REGIONS secure Bridgeport","60 Housatonic Ave","Bridgeport","CT",="06604","203-579-6548",,"http://www.jud.ct.gov",,,,,="090022201935",No,No,,No,No,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1"
"State Agency Facilities","Judicial Centers",="3482315","REGIONS secure Hamden","995 Sherman Avenue","Hamden","CT",="06514","860-566-2030","860-967-3280","http://www.cpa-ct.org",,,,,="090022201941",No,No,,No,No,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1"
"State Agency Facilities","Judicial Centers",="3481815","REGIONS secure Hartford","920 Broad Street","Hartford","CT",="06106","860-244-7961",,"http://www.jud.ct.gov",,,,,="090022201926",No,No,,No,No,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1"
"State Agency Facilities","Judicial Centers",="3482115","REGIONS staff secure Waterbury","80 Prospect Street","Waterbury","CT",="06702","203-757-9939","203-465-0059","http://www.ctjuniorrepublic.org",,,,,="090022201924",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"State Agency Facilities","Judicial Centers",="3482215","REGIONS staff-secure Hartford","123 Washington Street","Hartford","CT",="06106","860-566-2030","860-967-3280","http://www.cpa-ct.org",,,,,="090022201940",No,No,,No,No,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1"
"Public Charter Schools","Jumoke Academy District",="2610113","Jumoke Academy","999 Asylum Ave. Suite 200","Hartford","CT",="06105","860-527-0575",,"http://jumokeacademy.org",,,"Charter School",,="090000700747",No,No,"Schoolwide",No,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Public Charter School Districts","Jumoke Academy District",="2610013","Jumoke Academy District","999 Asylum Ave. Suite 200","Hartford","CT",="06105","860-527-0575",,"http://jumokeacademy.org",,,,,="0900007",No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools","Kent",="0686121","Kent School","1 Macedonia Rd","Kent","CT",="06757","860-927-6030","860-927-6036",,"Standard Non-Public",,,,,No,No,,Yes,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools","Kent",="0686221","South Kent School","40 Bull's Bridge","South Kent","CT",="06785","860-927-3539","860-927-1161",,"Standard Non-Public",,,,,No,No,,Yes,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools","Kent",="0686321","The Marvelwood School","476 Skiff Mountain Road","Kent","CT",="06757","860-927-0047","860-927-5325",,"Standard Non-Public",,,,,No,No,,Yes,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Kent School District",="0680111","Kent Center School","9 Judd Street","Kent","CT","06757-0219","860-927-3537","860-927-3925","http://www.kentcenterschool.org",,,"Traditional/General Education",,="090204000389",No,No,"Targeted Assistance",No,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public School Districts","Kent School District",="0680011","Kent School District","9 Judd Avenue","Kent","CT",="06757","860-927-3537","860-927-3925","http://www.kentcenterschool.org",,,,,="0902040",No,No,,No,No,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools","Killingly",="0690421","High Road School Hartford High at Windham County","95 Wescott St.","Danielson","CT",="06239","860-268-1184",,"https://sesischools.com/","APSEP",,,,,No,No,,No,Yes,="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools","Killingly",="0690521","High Road School Hartford Primary at Windham County","95 Westcott Road","Danielson","CT",="06239","860-932-6160",,"https://sesischools.com","APSEP",,,,,No,No,,No,Yes,="0",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Nonpublic Elementary and Secondary Schools","Killingly",="0690161","Natchaug Hospital School Joshua Center NE-Danielson","934 North Main Street","Danielson","CT",="06239","860-779-2101","860-423-1109","http://www.Natchaug.org","APSEP",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools","Killingly",="0690121","St. James School-Danielson","120 Water Street","Danielson","CT",="06239","860-774-3281","860-779-2137",,"Standard Non-Public",,,,,No,No,,Yes,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Nonpublic Elementary and Secondary Schools","Killingly",="0690182","The Arc Eastern CT - North Region (NR)","687 Cook Hill Road","Danielson","CT",="06239","860-774-2827","860-774-4265","https://www.thearcect.org/","TVSP",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Program","Killingly School District",="0698011","Goodyear Early Childhood Center","22 Williamsville Rd.","Rogers","CT",="06263","860-779-6770",,"https://www.killinglyschools.org/goodyear-early-childhood-center",,"Pre-Kindergarten",,,="090207000083",No,No,,No,No,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Killingly School District",="0690111","Killingly Central School","60 Soap St.","Dayville","CT","06241-0365","860-779-6750",,"https://www.killinglyschools.org/killingly-central-school",,,"Traditional/General Education",,="090207000391",No,No,"Schoolwide",No,No,="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Killingly School District",="0696111","Killingly High School","226 Putman Pike","Dayville","CT",="06241","860-779-6620",,"https://www.killinglyschools.org/killingly-high-school",,,"Traditional/General Education",,="090207000392",Yes,Yes,"Schoolwide",No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Killingly School District",="0695211","Killingly Intermediate School","1599 Upper Maple St.","Dayville","CT","06241-1543","860-779-6700",,"https://www.killinglyschools.org/killingly-intermediate-school",,,"Traditional/General Education",,="090207000393",No,No,"Schoolwide",No,No,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="0",="0",="0",="0"
"Public Schools","Killingly School District",="0690311","Killingly Memorial School","339 Main St.","Danielson","CT","06239-2856","860-779-6680",,"https://www.killinglyschools.org/killingly-memorial-school",,,"Traditional/General Education",,="090207000394",No,No,"Schoolwide",No,No,="0",="0",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
"Public School Districts","Killingly School District",="0690011","Killingly School District","79 Westfield Avenue","Danielson","CT",="06239","860-779-6600",,"https://www.killinglyschools.org/",,,,,="0902070",No,No,,No,No,,,,,,,,,,,,,,
"Program","Killingly School District",="0690511","Killingly Therapeutic Academy at Westfield","79 Westfield ave","Killingly","CT",="06239","860-779-6600",,"http://www.killinglyschools.org",,"Special Education",,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1"
"Program","Killingly School District",="0690711","Killingly Therapeutic Academy at Westfield- Expulsion","79 Westfield ave","Killingly","CT",="06239","860-779-6600",,"http://www.killinglyschools.org",,"Expulsion Program",,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1",="1",="1",="1"
"Program","Killingly School District",="0690811","Killingly Therapeutic Academy at Westfield- Transition","79 Westfield ave","Killingly","CT",="06239","860-779-6600",,"http://www.killinglyschools.org",,"Public Transition Program",,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Program","Learn",="2451814","Early LEARNer Intensive Program","24 Rope Ferry Road","Waterford","CT",="06385","860-447-4049",,"http://www.thefriendshipschool.org",,"Special Education",,,,No,No,,No,No,="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Learn",="2451414","LEARN Diagnostic and Wellness Center","660 Ocean Avenue","New London","CT",="06320","860-400-0840","860-574-9510","http://www.learn.k12.ct.us",,"Special Education",,,,No,No,,No,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Program","Learn",="2451514","LEARN Integrated Program at TFS","24 Rope Ferry Road","Waterford","CT",="06385","860-434-4800",,"http://www.learn.k12.ct.us",,"Special Education",,,,No,No,,No,No,="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Program","Learn",="2451614","LEARN SAILS Program","660 Ocean Avenue","New London","CT",="06320","860-400-0840","860-574-9510","http://www.learn.k12.ct.us",,"Special Education",,,,No,No,,No,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Program","Learn",="2451714","LEARN Secondary SAILS Program at LTA","58 Pennsylvania Ave","Niantic","CT",="06357","860-451-8251","860-574-9510","http://www.learn.k12.ct.us",,"Special Education",,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Learn",="2450414","LEARN Transition Academy","58 Pennsylvania Ave","Niantic","CT",="06357","860-451-8251","860-574-9510","http://www.learn.k12.ct.us",,"Public Transition Program",,,="090345001757",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Regional Education Service Center School Districts","Learn",="2450014","Learn","44 Hatchetts Hill Road","Old Lyme","CT",="06371","860-434-4800",,,,,,,="0903450",No,No,,No,No,,,,,,,,,,,,,,
"Program","Learn",="2450614","Learn High School","58 Pennsylvania Ave","Niantic","CT",="06357","860-451-8251","860-574-9510","http://www.learn.k12.ct.us",,"Special Education",,,="090345001795",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="1"
"Program","Learn",="2451114","Learn Intensive Program","660 Ocean Avenue","New London","CT",="06320","860-400-0840","860-574-9510","http://www.learn.k12.ct.us",,"Special Education",,,="090345001680",No,No,,No,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="1"
"Regional Education Service Center Schools","Learn",="2456114","Marine Science Magnet High School","130 Shennecossett Road","Groton","CT",="06340","860-434-4800",,"http://www.msmhs.com",,,"Traditional/General Education","Yes",="090345001606",No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Regional Education Service Center Schools","Learn",="2450114","Regional Multicultural Magnet School","1 Bulkeley Place","New London","CT",="06320","860-437-7775","860-437-1475","http://www.rmms.k12.ct.us",,,"Traditional/General Education","Yes",="090345000079",No,No,"Schoolwide",No,No,="0",="0",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0"
"Regional Education Service Center Schools","Learn",="2450214","The Friendship School","24 Rope Ferry Rd.","Waterford","CT",="06385","860-447-4049","860-447-4056","http://www.thefriendshipschool.org",,,"Traditional/General Education","Yes",="090345001430",No,No,"Schoolwide",No,No,="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Regional Education Service Center Schools","Learn",="2456214","Three Rivers Middle College Magnet School","574 New London Turnpike","Norwich","CT",="06360","860-215-9055","860-215-9913","http://www.threeriversmiddlecollege.org",,,"Traditional/General Education","Yes",="090345001617",No,No,"Schoolwide",No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1"
"Public Schools","Lebanon School District",="0710111","Lebanon Elementary School","479 Exeter Rd.","Lebanon","CT","06249-1505","860-642-7593",,"http://www.lebanonct.org",,,"Traditional/General Education",,="090213000395",No,No,"Targeted Assistance",No,No,="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Lebanon School District",="0715111","Lebanon Middle School","891 Exeter Rd.","Lebanon","CT","06249-1742","860-642-4702",,"http://www.lebanonct.org",,,"Traditional/General Education",,="090213000028",No,No,,No,No,="0",="0",="0",="0",="0",="0",="1",="1",="1",="1",="0",="0",="0",="0"
"Public School Districts","Lebanon School District",="0710011","Lebanon School District","891 Exeter Road","Lebanon","CT",="06249","860-642-7795",,"http://www.lebanonct.org",,,,,="0902130",No,No,,No,No,,,,,,,,,,,,,,
"Public Schools","Lebanon School District",="0716211","Lyman Memorial High School","917 Exeter Rd.","Lebanon","CT","06249-1742","860-642-7567","860-642-3523","http://www.lebanonct.org",,,"Traditional/General Education",,="090213000396",Yes,Yes,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Program","Lebanon School District",="0710211","Pass Academy","891 Exeter Road","Lebanon","CT",="06249","860-642-7795",,"http://www.lebanonct.org",,"Alternative",,,,Yes,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools","Ledyard",="0720221","Baroco Corporation - Ledyard","1501 Route 12","Gales Ferry","CT",="06335","860-884-5610","877-335-0741","http://www.baroco.com","TVSP",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Nonpublic Elementary and Secondary Schools","Ledyard",="0450121","Bloom BCS Transition Program","1854 Route 12","Gales Ferry","CT",="06335","860-464-2780 x5026",,"https://bloombcs.org/","APSEP",,,,,No,No,,No,Yes,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Nonpublic Elementary and Secondary Schools","Ledyard",="0720382","Viability, Inc. - Ledyard","2 Lorenz Industrial Parkway","Ledyard","CT",="06339","860-464-7221","860-464-7223","https://viability.org/","TVSP",,,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Public Schools","Ledyard School District",="0720211","Gales Ferry School","1858 Route 12","Gales Ferry","CT",="06335","860-464-7664","860-464-5138","http://gfsjwl.ledyard.net",,,"Traditional/General Education",,="090216000397",No,No,,No,No,="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Ledyard School District",="0720411","Gallup Hill School","169 Gallup Hill Rd.","Ledyard","CT","06339-1830","860-536-9477","860-572-2788","http://ghs.ledyard.net/",,,"Traditional/General Education",,="090216000398",No,No,"Targeted Assistance",No,No,="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Ledyard School District",="0720311","Juliet W. Long School","1854 Route12","Gales Ferry","CT","06335-1127","860-464-2780","860-464-5139","http://gfsjwl.ledyard.net",,,"Traditional/General Education",,="090216000399",No,No,,No,No,="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0",="0",="0",="0"
"Public Schools","Ledyard School District",="0726111","Ledyard High School","24 Gallup Hill Rd.","Ledyard","CT","06339-1512","860-464-9600","860-464-1990","http://lhs.ledyard.net/",,,"Traditional/General Education",,="090216000401",Yes,Yes,"Targeted Assistance",No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="1"
"Public Schools","Ledyard School District",="0725111","Ledyard Middle School","1860 Route 12","Gales Ferry","CT","06335-1127","860-464-3188","860-464-2155","http://lms.ledyard.net/",,,"Traditional/General Education",,="090216000402",No,No,"Targeted Assistance",No,No,="0",="0",="0",="0",="0",="0",="0",="1",="1",="1",="0",="0",="0",="0"
"Public School Districts","Ledyard School District",="0720011","Ledyard School District","4 Blonder Boulevard","Ledyard","CT",="06339","860-464-9255",,"http://ledyard.net",,,,,="0902160",No,No,,No,No,,,,,,,,,,,,,,
"Program","Ledyard School District",="0720511","Ledyard Transition Academy","1854 Route 12","Gales Ferry","CT",="06335","860-464-9255","860-464-8589","http://www.ledyard.net",,"Public Transition Program",,,,No,No,,No,No,="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="1"
"Public Schools","Lisbon School District",="0730111","Lisbon Central School","15 Newent Rd.","Lisbon","CT","06351-2926","860-376-2403 x256","860-376-1102","http://www.lisbonschool.org",,,"Traditional/General Education",,="090219000403",No,No,"Targeted Assistance",No,No,="1",="1",="1",="1",="1",="1",="1",="1",="1",="1",="0",="0",="0",="0"
"Public School Districts","Lisbon School District",="0730011","Lisbon School District","15 Newent Road","Lisbon","CT",="06351","860-376-2403 x256","860-376-1102","http://www.lisbonschool.org",,,,,="0902190",No,No,,No,No,,,,,,,,,,,,,,
